,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
NCS1,1112.49228762138,-1.08540906666717,0.132053195704252,-8.2194835261546,2.04381432529253e-16,7.28737882944979e-14
CENPF,344.989750154373,1.35496287450449,0.164892168225976,8.21726640556743,2.08194234913127e-16,7.28737882944979e-14
SCMH1,3278.24148058398,-0.64563168018276,0.0785915981515076,-8.21502164821896,2.12125986802945e-16,7.28737882944979e-14
SOD3,531.815607380217,-1.56225352219691,0.19017255006393,-8.21492650580604,2.12294238385886e-16,7.28737882944979e-14
SDCCAG8,5003.87111311272,0.497777335035449,0.0611299773342303,8.14293341405697,3.85814463071697e-16,1.30114235502232e-13
ITPR2,14672.4991820533,0.887192134655815,0.109035195004207,8.13675010735369,4.06029571094936e-16,1.34570800778585e-13
PGR,1421.47641207861,-1.44667582414126,0.178073790162946,-8.1240244441222,4.50974877862551e-16,1.46933730121217e-13
FAM49B,1791.41024645706,1.16681228941265,0.143813599770354,8.11336543467279,4.92367143762541e-16,1.57746226742455e-13
CLEC5A,503.003128781891,2.20906236708337,0.272463178828542,8.10774643598176,5.15672074375433e-16,1.6250433255277e-13
CCND2,522.184335168333,-0.734744626814629,0.0910285102283069,-8.07158795603519,6.93897072994153e-16,2.1514166829301e-13
PRRC2A,7161.83132503005,-0.450535269641165,0.0558874368932131,-8.06147668754295,7.5378270432025e-16,2.2999944325632e-13
ARHGEF10L,2844.83439193204,-0.950562477427735,0.118019607258172,-8.05427589119444,7.99506992766142e-16,2.40139420655368e-13
SLF1,703.08402151802,0.780940587142386,0.097230868011329,8.03181749906206,9.6039161052977e-16,2.84024737372519e-13
CCDC18,1038.90806159815,0.973396557569203,0.122007443512215,7.97817354046726,1.48514490809458e-15,4.32559705580336e-13
SAMD4A,5600.65826860664,-1.24075260624189,0.155605716814847,-7.97369551478784,1.53998677062116e-15,4.39744147366425e-13
PTPRU,918.153427021758,-0.862181543986297,0.108145087528821,-7.97245222772161,1.55556375284383e-15,4.39744147366425e-13
MPHOSPH9,1195.62257072213,0.635782598176473,0.0798402931787009,7.96317965357975,1.67673738379214e-15,4.67129314907772e-13
SLC2A4RG,266.462484845667,-1.137665147199,0.143341249526302,-7.93676036004031,2.07530466379927e-15,5.69908307888763e-13
ATP1A2,2010.3677132071,-2.31056073300721,0.291764247744929,-7.91927301191195,2.38903267673416e-15,6.46822185138883e-13
PACSIN3,174.274847247242,-1.40461285637407,0.177509009788927,-7.91291021252541,2.51440705532528e-15,6.62499477249853e-13
GPRC5A,294.280734406816,-1.62456859513668,0.205307953237205,-7.91283810257323,2.51586442486809e-15,6.62499477249853e-13
CPAMD8,282.356712472934,-3.10986972580444,0.393330431231148,-7.90650679142816,2.64711865116846e-15,6.87642727451505e-13
KCNMA1,21724.9163868374,-1.23845573736527,0.156946562664249,-7.89093890520341,2.99921462461792e-15,7.68718703053736e-13
ZCCHC14,1385.7819140146,-0.563847780419349,0.0714978605623003,-7.8862189159917,3.11480003937333e-15,7.8783948890623e-13
KLHL42,670.319976706359,-1.14127059068349,0.144869646987665,-7.87791379639839,3.32892244347057e-15,8.31063326374477e-13
ZNF814,1889.62074660904,1.30024832930372,0.165179070075402,7.8717499057851,3.49714729011221e-15,8.57379681374057e-13
ZNF675,1331.82743284515,0.970278975515736,0.123281152697207,7.8704567104337,3.53348920729502e-15,8.57379681374057e-13
MPPED2,705.171201853742,-1.91927456372232,0.243895927593048,-7.86923579521478,3.56814100348148e-15,8.57379681374057e-13
LRMP,852.821783292664,1.53884587485731,0.196023566554628,7.85031056165619,4.15008300327267e-15,9.78014848543392e-13
BIRC2,2013.66782082821,0.383845051914274,0.0488996281395389,7.84965175642936,4.17194077826344e-15,9.78014848543392e-13
CARTPT,778.395802233891,-7.1065790670207,0.908367227864235,-7.8234648378165,5.13889152521313e-15,1.19017966011051e-12
TLR2,2546.69858029492,1.09716852062019,0.14064671722112,7.80088253958502,6.14757138713456e-15,1.40664042898484e-12
EPHA4,1202.20390306608,-1.31118615475169,0.168113564647568,-7.79940724890612,6.21986352097548e-15,1.40664042898484e-12
PCDH20,178.734511030167,-3.59321821288618,0.461040259011999,-7.79371897063042,6.50651728674362e-15,1.4543579279427e-12
HSF1,1003.24852369189,-0.766817477168724,0.0984121462226338,-7.79189873000009,6.60096317938755e-15,1.45850937008468e-12
FREM1,3393.16690260607,-1.19931021316801,0.154038654831746,-7.7857743855138,6.92874970293536e-15,1.51353813113098e-12
VSTM4,409.468372644604,-0.985057581332661,0.126639547833958,-7.77843571128514,7.34267992143459e-15,1.5713697403477e-12
DPYD,8499.3718198119,0.780933839702424,0.100400464939966,7.77818947521191,7.35698260579997e-15,1.5713697403477e-12
NPTXR,106.110146734785,-1.55102244517891,0.199840971827055,-7.76128353959957,8.40741170408154e-15,1.77599643063252e-12
RUSC2,3571.55302129674,-1.02820685506852,0.132545332273856,-7.75739769503248,8.66897576725437e-15,1.81134479536881e-12
OSBPL3,1473.86248012832,1.67496060197326,0.21619358679854,7.74750364604513,9.37166438168116e-15,1.93711295063502e-12
BMPR1B,1530.48122826084,-1.3713365863545,0.17730987553868,-7.73412412697425,1.04117411154232e-14,2.10919410775903e-12
SELM,623.786031586319,-1.03625750621591,0.133987630017149,-7.7339789209144,1.04236300388653e-14,2.10919410775903e-12
FIBIN,870.993111331853,-1.57503811347119,0.203838933443947,-7.72687575852289,1.10218121451305e-14,2.20700307151920e-12
PDZRN3,2378.12321976975,-1.36853585234123,0.17735350457758,-7.7164297125157,1.19633500619236e-14,2.37083998185936e-12
TERC,191.200279973495,-1.29894026167172,0.168422214075327,-7.71240461837635,1.23468949793964e-14,2.42188124682589e-12
NPNT,8067.75336256897,-1.48839010684914,0.193072006799766,-7.70898967447283,1.26817672811441e-14,2.44029482827667e-12
C14orf37,751.79372464494,-1.10814115130238,0.143749031236661,-7.70885996078813,1.26946617503859e-14,2.44029482827667e-12
THRB,7000.42661421526,-1.55211981595503,0.201951838821921,-7.68559387727922,1.52288887584995e-14,2.89846463964985e-12
RB1,7091.11021085362,0.497626639439005,0.0647672394090217,7.68330785717707,1.55032422736356e-14,2.92175319829507e-12
TMED4,551.685710582377,-0.682014418181075,0.0888706204793813,-7.6742394112046,1.66403034498025e-14,3.10559760403451e-12
IFNAR2,1645.1726568112,0.734242580700882,0.0957974471701743,7.6645318052847,1.7948472742965e-14,3.31753357248092e-12
KCNK17,267.513074794253,-1.89315191677352,0.247471399329446,-7.64998267235425,2.01006396893109e-14,3.67994854045356e-12
CASP1,1072.40508393755,1.32722868789709,0.173632761444153,7.64388400471286,2.10765295170146e-14,3.79737535547344e-12
TMEM132B,222.72937341679,-1.80433017570076,0.236060281206039,-7.64351447216102,2.113713588075e-14,3.79737535547344e-12
ACTN2,2242.05728101598,-1.9599850194631,0.256750323457533,-7.63381713825683,2.2790311096766e-14,4.03530819497889e-12
ZYX,4634.72454075284,-0.569311202207399,0.0745825470021277,-7.63330330071937,2.28813709229933e-14,4.03530819497889e-12
SLC11A2,5500.804107067,0.603256280104332,0.0791395121118856,7.62269394902842,2.48435434354287e-14,4.34152214053859e-12
RAMP1,426.588802878029,-1.82171840702656,0.239297117067005,-7.61278877637487,2.68243978365164e-14,4.64545405055274e-12
PPP1R12C,929.838251935047,-0.717938081918281,0.0943660885811832,-7.60800932530586,2.78349761772024e-14,4.77742631298537e-12
NME4,296.881635371418,-0.859183907169113,0.112965302262153,-7.60573282205936,2.83294005276227e-14,4.81925722426984e-12
BCL2L11,487.001580774225,1.49914278599776,0.197158126377133,7.60375853405164,2.8765174496657e-14,4.85046446797576e-12
WFS1,3725.83093954787,-1.27706818094051,0.168005950189571,-7.60132709287688,2.93109209931072e-14,4.89951160217826e-12
EML4,7740.76274431254,0.65879986002394,0.0866861991570387,7.59982403693203,2.96533677732988e-14,4.91402317850105e-12
CLEC4A,189.337662392963,1.28338010683905,0.169052247366919,7.5916181347979,3.15934940994765e-14,5.19078407755758e-12
DCHS1,3121.52149277471,-0.851065590309307,0.112258853809278,-7.58127810350908,3.42167258549448e-14,5.57413661957292e-12
MTUS2,4860.56486006229,-1.7649891761085,0.232850898907276,-7.57991136985624,3.45791100111987e-14,5.58583388021237e-12
P2RX7,726.967924845464,1.66637253177048,0.220004196314976,7.57427612600972,3.61135569145574e-14,5.71439272970251e-12
SMO,234.127959568425,-1.01886483801511,0.134517459224421,-7.57422005953363,3.61291550400297e-14,5.71439272970251e-12
ATR,3408.99749876459,0.514910937045516,0.0679864711903636,7.57372647866595,3.62667592479689e-14,5.71439272970251e-12
KRTAP12-2,1.35435928101785,23.9692648788317,3.1674620005241,7.56734094201151,3.80941162109701e-14,5.95352191807706e-12
SPARCL1,36180.7702753577,-1.31168357614535,0.173486757265374,-7.56071297210848,4.00865946528179e-14,6.21439200815419e-12
ZNRF3,234.695560718778,-1.3467366950739,0.178154888704428,-7.55935862814428,4.05061669541173e-14,6.22920037887198e-12
B2M,44140.115189748,0.907697561457112,0.120121325008472,7.55650640211546,4.14039530741921e-14,6.3167316662317e-12
NDUFA11,756.040344434745,-0.588393815729632,0.077902023349044,-7.5529978610864,4.25351982245812e-14,6.4382213816624e-12
HAND2,1063.10062491359,-1.50189027710846,0.198891092569245,-7.55131995961846,4.30868866268789e-14,6.44637146501634e-12
TMPO,3206.01777729201,0.539331077385827,0.0714270246162463,7.5507985987583,4.32597367209649e-14,6.44637146501634e-12
TNRC18,4680.53861553278,-0.666344716981413,0.0882626369159925,-7.54956729443323,4.3670670200479e-14,6.4575484097216e-12
PARP4,6355.0983098031,0.52804761805923,0.070070478245157,7.53594996471608,4.84792458822655e-14,7.1138667449984e-12
SLC41A2,1578.93935894202,-0.804303513353707,0.106753591331158,-7.53420567237589,4.91316356491322e-14,7.13452444536948e-12
C12orf57,848.967581823659,-0.903254334253022,0.119896863524617,-7.53359435518151,4.93623134388046e-14,7.13452444536948e-12
CNTN1,5018.41874175356,-2.30898455801802,0.306614926904007,-7.53056800375836,5.05200713824753e-14,7.24736815063674e-12
GMFG,670.527819158863,1.45028892641932,0.192763349743685,7.52367567977913,5.32573566224745e-14,7.58345308410242e-12
SLC22A17,354.718875540323,-1.11701276925601,0.148519047229438,-7.52100683443252,5.43560077616001e-14,7.68298189118558e-12
ATP8B4,1789.79520401395,1.18171747237037,0.157262972048676,7.51427660927456,5.72264743926284e-14,8.02966800912041e-12
MYOCD,4158.2415025836,-1.96998789250979,0.262324395106491,-7.50973957915758,5.9245100509634e-14,8.25267077606301e-12
FOXC1,14677.07844768,-1.08142599705731,0.144285926573382,-7.49502063534458,6.62879334291216e-14,9.16728736912233e-12
RHOB,1474.62033667548,-1.28013304376425,0.171074374807936,-7.48290353363237,7.26982457599378e-14,9.98198841602346e-12
GAREM,637.906280935105,-1.26354304102468,0.168893382439132,-7.48130579645447,7.35877232010799e-14,1.00324595964139e-11
PVRL3,1772.32613142543,-0.764090687854593,0.102170004532351,-7.47862047527512,7.5106829737392e-14,1.01674548453654e-11
CLEC2D,1324.98218250215,1.44997848901769,0.194110438526249,7.46986354791845,8.02780222272365e-14,1.07914994494697e-11
LRP10,1615.261479669,-0.689518814590012,0.0923228183423044,-7.46856331912973,8.1075101776144e-14,1.08229630655751e-11
LINC00657,211.134776830999,-1.01229096484608,0.135660306340883,-7.4619539948732,8.52486534232837e-14,1.13016197569364e-11
SMC4,3744.87705491933,0.522305175277642,0.0701012791616796,7.45072246218236,9.28304642497676e-14,1.22224658511869e-11
SVIL,31649.2431872869,-0.999288145094863,0.134160639666932,-7.44844499531087,9.44467915537408e-14,1.23506848573984e-11
WBSCR17,235.470677397104,-1.56644733047387,0.21070337111897,-7.4343724172757,1.05065577696067e-13,1.36464567571047e-11
NPY1R,656.292539619329,-1.3311731740937,0.179245100977821,-7.42655261891044,1.11464566879215e-13,1.43804252961017e-11
HCLS1,3462.54612031808,1.27296085201538,0.171453526286076,7.42452418208888,1.13186063832364e-13,1.45051713669969e-11
PDE8B,3952.81726966246,-1.93588721031973,0.261040395675143,-7.4160445754491,1.20669901020112e-13,1.53618377967525e-11
CASC5,187.997366759529,1.54695566474008,0.208716213844454,7.41176565177134,1.24628847370135e-13,1.57614495591849e-11
PYGB,2828.29631125164,-0.820967655841842,0.110816505078855,-7.40835180876399,1.27878699141546e-13,1.60667466248231e-11
CLEC7A,1850.49567022269,1.83557179964184,0.247809852977643,7.4071784377655,1.29014822147798e-13,1.61042332866696e-11
GPR155,1645.46587004057,0.645921012100257,0.0872181785669832,7.40580716902031,1.30355134334754e-13,1.61665596601095e-11
APOBEC3G,348.770946312343,1.23686966235134,0.167131966230751,7.40055711810183,1.35614321101292e-13,1.67109877854496e-11
MECOM,2482.45479498557,-0.879317021445046,0.118923669859669,-7.39396137440635,1.42517827832928e-13,1.73835395030244e-11
ZNF267,1912.67569516273,0.994274496051885,0.134477300547515,7.39362325094099,1.4288088443416e-13,1.73835395030244e-11
SP140L,1677.67303107522,0.970868586040742,0.131359884327189,7.39090621930298,1.45831451218166e-13,1.76309307343824e-11
ITGA4,2697.93531432973,1.55216559132608,0.21033898755642,7.37935277410107,1.59060860899932e-13,1.89804412401864e-11
CCDC109B,481.457595584535,1.03108893056761,0.139736277395616,7.37882065978062,1.59697770901093e-13,1.89804412401864e-11
USP22,3395.79204636338,-0.370011823815418,0.0501465781422742,-7.37860563019141,1.59955859174437e-13,1.89804412401864e-11
LONRF2,297.153417619422,-1.35243273319055,0.183400529039704,-7.37420300951129,1.65331095427652e-13,1.94979119472745e-11
STK38,1956.54208439811,0.708098970801724,0.0960672734033904,7.37086570395713,1.69523552030781e-13,1.97641768445521e-11
NXPH3,643.349990203449,-1.28529791592966,0.174377696995979,-7.37077010461546,1.69645173976543e-13,1.97641768445521e-11
EXOC7,1455.20229649734,-0.466593778032199,0.0633709599972715,-7.36289584459961,1.7996278825549e-13,2.08399077026222e-11
CYTL1,1455.14652228477,-2.43257088077032,0.330433841948396,-7.36174862243745,1.81516554556152e-13,2.08939684325324e-11
ITGA7,9057.16892074619,-0.910363202952543,0.123689429896246,-7.36007275412441,1.83810020837803e-13,2.10320239914588e-11
KANK1,17297.4024996905,-1.1673131630042,0.158832749913786,-7.34932287980794,1.99213439222289e-13,2.26596446282252e-11
AOAH,2112.94674157764,1.52482250831203,0.207937357804208,7.33308590824642,2.24912657617205e-13,2.54323295139738e-11
FLNA,222510.430908199,-1.0372108702172,0.141476173457555,-7.33134664918246,2.27851447322612e-13,2.56139670870326e-11
KNTC1,3039.74800015112,1.00763280945619,0.137458932543727,7.33042801082171,2.2941884129069e-13,2.56402231751799e-11
THSD4,2058.99766967641,-1.25765993343754,0.171623784617952,-7.32800489301168,2.33604193343877e-13,2.59570717262968e-11
ITIH3,356.677400328124,1.53955190400009,0.210216229588548,7.32365863003739,2.41300050152827e-13,2.66581084142977e-11
HLA-DRA,19284.7458132877,1.5503954625458,0.211833321775037,7.31894042709808,2.49936513413043e-13,2.74544548419367e-11
RBM42,364.969323329736,-0.627732745917083,0.0858332645101466,-7.31339707862185,2.60471830456889e-13,2.84491477095044e-11
LRRC8A,1142.12719091981,-0.901437521503263,0.123340291171309,-7.30854056644996,2.70059417693787e-13,2.93296733690829e-11
CARD16,737.918194047814,1.49552341873712,0.204781633101228,7.30301539297643,2.81388975910397e-13,3.02803965653561e-11
KLHL5,3146.53602197221,0.43018199127346,0.0589069223700324,7.30274089980816,2.81963844623562e-13,3.02803965653561e-11
DUSP8,120.83528259798,-1.40037365582211,0.191835907959075,-7.29985158003297,2.8808533547075e-13,3.07659133541901e-11
DOK7,75.0528676438993,-2.00249828679164,0.274839861515302,-7.28605478023118,3.19163244967354e-13,3.37726555087493e-11
LTBP3,16610.7138231603,-0.868049179498553,0.119142510530374,-7.28580567619696,3.19753592186047e-13,3.37726555087493e-11
FLT3,167.640197532833,1.75065441440696,0.240370713820135,7.28314355182615,3.26129869127803e-13,3.42578933018785e-11
PGM5,2476.67233354237,-1.16549461059325,0.160171234986298,-7.27655381250541,3.42455547271938e-13,3.56756990668811e-11
CEP152,2205.6175221392,0.780493686967549,0.107266572249257,7.27620609665704,3.43338933952713e-13,3.56756990668811e-11
DLG5,2812.89291705181,-0.699414004108814,0.0961550866211222,-7.27381180430631,3.49482788178002e-13,3.61188582642243e-11
AIM2,228.228872245433,2.52570583628565,0.347436846583977,7.26953937418719,3.60715374662992e-13,3.70803831398219e-11
PLXNB1,1717.97052707495,-0.918625898554272,0.126389874630748,-7.2681921810435,3.64330230992514e-13,3.72527661189845e-11
STK4,1884.74223905004,0.722228458596289,0.0994172817371563,7.26461683498597,3.7409715999546e-13,3.80490460666282e-11
AMOT,695.267552208203,-0.972158968548252,0.133960768069126,-7.25704236069027,3.95645830513876e-13,4.00289463156223e-11
FMNL3,3458.13284386322,0.798018409548127,0.109979581879365,7.2560596786362,3.98529304567042e-13,4.01095749826819e-11
RYR3,2545.21525592675,-1.13913980314488,0.157045741308893,-7.25355424254587,4.05974687184052e-13,4.06461011028074e-11
CABLES1,711.382801868282,-0.827993934187824,0.114186981410544,-7.25121133740179,4.13060574982834e-13,4.09840418812774e-11
CLEC2B,955.221484898441,1.36449279976236,0.188179169558017,7.25102997832967,4.13614114600625e-13,4.09840418812774e-11
GYPC,2836.31161073559,-0.752661827647678,0.103813408991342,-7.2501407569657,4.16338732790436e-13,4.10424587714387e-11
NSMF,4305.04634273728,-0.913765005550996,0.126120494354955,-7.24517462625293,4.31882390862515e-13,4.22898604446252e-11
ATM,27151.531155863,0.692357319341614,0.0955695068247893,7.24454213843475,4.33902496514546e-13,4.22898604446252e-11
FMO3,408.446326470483,1.25008151871587,0.172567488350709,7.24401525839747,4.35592382460375e-13,4.22898604446252e-11
DNER,94.3476066551757,-3.36408948947987,0.464486601533387,-7.24259747939805,4.4017184691097e-13,4.25197156440682e-11
MRE11A,2596.28660581073,0.531692877795561,0.0734316756564508,7.24064748682953,4.46547683939305e-13,4.29199306418263e-11
ASPM,1032.59163736144,1.32851104453261,0.183648814121283,7.2339756229259,4.69056004665251e-13,4.4859022774528e-11
NACAD,347.595285763366,-1.16283579979377,0.160912635354866,-7.22650397981069,4.95586110999556e-13,4.71616426323983e-11
