,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
HRAS,286.073365677631,-0.602608172639544,0.200113253096451,-3.0113356477649,0.00260101164957246,0.999306081618454
CLCN4,102.967457258052,-0.585592793355318,0.195249301938923,-2.99920556713949,0.00270684607234278,0.999306081618454
SYT10,12.2762176046396,-3.40283697319833,1.13480208039916,-2.9986171438824,0.00271207873686646,0.999306081618454
PSME2,1463.9767163336,0.479036918958299,0.160777067925878,2.9795102320136,0.00288709587448101,0.999306081618454
RRM2,115.023013771782,0.943944891433314,0.317706736129928,2.97112016865542,0.00296715654744862,0.999306081618454
THSD4,1240.71459544335,-0.635801575811945,0.214125243960077,-2.96929761317862,0.00298481358100009,0.999306081618454
OAS2,726.568912147391,0.544745081607603,0.183587279485912,2.9672267225323,0.00300499281290735,0.999306081618454
IFIT3,475.864195717921,0.714853797562767,0.241510649212587,2.95992661149085,0.00307712334593818,0.999306081618454
WARS,2348.09624538839,0.558405601403291,0.188885935243852,2.9563111762789,0.00311342802712665,0.999306081618454
ZP3,82.2464195523147,-1.36664255405127,0.46290912661861,-2.9522912283759,0.00315425284900637,0.999306081618454
ADAMDEC1,1237.66820041329,1.54967529984834,0.525357030964997,2.94975646752425,0.00318024499482246,0.999306081618454
IRS1,835.263833880345,-0.399556474935939,0.135593928495778,-2.94671361297995,0.00321170503067518,0.999306081618454
TPMT,1694.35238075626,0.462353336563159,0.157226861614999,2.9406764964585,0.00327496367454543,0.999306081618454
OSCP1,219.922310296241,-0.586615337278153,0.199835274032492,-2.93549444720542,0.00333016571586354,0.999306081618454
PIGR,34.816010005871,-2.67470236833552,0.911953256191466,-2.93293800989945,0.00335770925991381,0.999306081618454
GRM2,10.4104083101022,-1.93420342743792,0.660386945966637,-2.92889409648573,0.00340170300790315,0.999306081618454
KLHDC9,62.8959571220174,-1.48987746007455,0.511255897670759,-2.91415212394089,0.00356656063200528,0.999306081618454
