POU2AF1
CXCL9
IDO1
ADRA2C
TNFRSF9
IRF4
IFNG
EPHA6
IL4I1
IL1A
GAD1
CCL20
GZMB
BLK
IL26
CXCL10
SNAP25
S1PR5
CR2
CCL1
CD79A
CCL7
GBP5
CXCL13
MZB1
IL23R
OLR1
CNR2
CLEC5A
DRD2
CARTPT
CXCL11
IL24
IL17D
CXCL5
IGLL5
