term,pie
transporter (PC00227),0.26
transmembrane signal receptor (PC00197),0.14
cell adhesion molecule (PC00069),0.1
intercellular signal molecule (PC00207),0.1
metabolite interconversion enzyme (PC00262),0.1
extracellular matrix protein (PC00102),0.06
others,0.24
